# This file is generated on 25-Nov-2021 at 17:02:36 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 3.7500e+01, 1.6573e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1460e+00, 8.3000e+00
1, 1, 3.7500e+01, 8.5776e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.9032e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.0160e-01, 3.0000e+01
1, 1, 3.7500e+01, 3.1287e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.5681e-01, 5.0000e+01
1, 1, 3.7500e+01, 2.1802e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.8951e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.6763e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.5029e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.3621e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.6766e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.9756e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.2617e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.6421e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.0781e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6145e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.2611e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.5330e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.9645e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.2490e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.5964e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.4335e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.6573e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1460e+00, 8.3000e+00
1, 1, 3.7500e+01, 8.5776e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.9032e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.0160e-01, 3.0000e+01
1, 1, 3.7500e+01, 3.1287e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.5681e-01, 5.0000e+01
1, 1, 3.7500e+01, 2.1802e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.8951e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.6763e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.5029e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.3621e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.6766e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.9756e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.2617e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.6421e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.0781e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6145e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.2611e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.5330e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.9645e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.2490e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.5964e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.4335e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.6573e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1460e+00, 8.3000e+00
1, 1, 3.7500e+01, 8.5776e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.9032e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.0160e-01, 3.0000e+01
1, 1, 3.7500e+01, 3.1287e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.5681e-01, 5.0000e+01
1, 1, 3.7500e+01, 2.1802e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.8951e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.6763e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.5029e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.3621e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.6766e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.9756e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.2617e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.6421e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.0781e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6145e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.2611e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.5330e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.9645e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.2490e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.5964e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.4335e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.6573e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1460e+00, 8.3000e+00
1, 1, 3.7500e+01, 8.5776e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.9032e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.0160e-01, 3.0000e+01
1, 1, 3.7500e+01, 3.1287e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.5681e-01, 5.0000e+01
1, 1, 3.7500e+01, 2.1802e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.8951e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.6763e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.5029e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.3621e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.6766e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.9756e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.2617e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.6421e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.0781e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6145e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.2611e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.5330e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.9645e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.2490e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.5964e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.4335e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.6573e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1460e+00, 8.3000e+00
1, 1, 3.7500e+01, 8.5776e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.9032e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.0160e-01, 3.0000e+01
1, 1, 3.7500e+01, 3.1287e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.5681e-01, 5.0000e+01
1, 1, 3.7500e+01, 2.1802e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.8951e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.6763e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.5029e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.3621e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.6766e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.9756e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.2617e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.6421e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.0781e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6145e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.2611e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.5330e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.9645e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.2490e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.5964e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.4335e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.6573e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1460e+00, 8.3000e+00
1, 1, 3.7500e+01, 8.5776e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.9032e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.0160e-01, 3.0000e+01
1, 1, 3.7500e+01, 3.1287e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.5681e-01, 5.0000e+01
1, 1, 3.7500e+01, 2.1802e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.8951e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.6763e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.5029e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.3621e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.6766e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.9756e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.2617e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.6421e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.0781e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6145e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.2611e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.5330e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.9645e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.2490e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.5964e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.4335e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.6573e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1460e+00, 8.3000e+00
1, 1, 3.7500e+01, 8.5776e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.9032e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.0160e-01, 3.0000e+01
1, 1, 3.7500e+01, 3.1287e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.5681e-01, 5.0000e+01
1, 1, 3.7500e+01, 2.1802e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.8951e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.6763e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.5029e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.3621e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
1, 2, 3.7500e+01, 6.9212e+00, 6.0000e-01
1, 2, 3.7500e+01, 5.2158e+00, 9.5000e-01
1, 2, 3.7500e+01, 3.5731e+00, 1.7000e+00
1, 2, 3.7500e+01, 2.4174e+00, 3.0000e+00
1, 2, 3.7500e+01, 1.6461e+00, 5.1000e+00
1, 2, 3.7500e+01, 1.1381e+00, 8.3000e+00
1, 2, 3.7500e+01, 8.5181e-01, 1.2000e+01
1, 2, 3.7500e+01, 5.8617e-01, 1.9000e+01
1, 2, 3.7500e+01, 3.9874e-01, 3.0000e+01
1, 2, 3.7500e+01, 3.1061e-01, 4.0000e+01
1, 2, 3.7500e+01, 2.5495e-01, 5.0000e+01
1, 2, 3.7500e+01, 2.1643e-01, 6.0000e+01
1, 2, 3.7500e+01, 1.8812e-01, 7.0000e+01
1, 2, 3.7500e+01, 1.6639e-01, 8.0000e+01
1, 2, 3.7500e+01, 1.4918e-01, 9.0000e+01
1, 2, 3.7500e+01, 1.3520e-01, 9.9990e+01
1, 2, 3.7500e+01, 4.6520e+01, 1.0000e-02
1, 2, 3.7500e+01, 3.9543e+01, 1.6000e-02
1, 2, 3.7500e+01, 3.2438e+01, 2.7000e-02
1, 2, 3.7500e+01, 2.6273e+01, 4.5000e-02
1, 2, 3.7500e+01, 2.0662e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.6051e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.2536e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.4749e+00, 3.5000e-01
