# This file is generated on 12-Dec-2021 at 19:55:41 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 7.5000e+01, 3.2414e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.5790e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.1484e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.6880e+00, 1.9000e+01
1, 1, 7.5000e+01, 1.3730e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.2909e+00, 4.0000e+01
1, 1, 7.5000e+01, 1.2324e+00, 5.0000e+01
1, 1, 7.5000e+01, 1.2169e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.2112e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.2096e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.2108e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.2136e+00, 9.9990e+01
1, 1, 7.5000e+01, 2.6890e+01, 1.0000e-02
1, 1, 7.5000e+01, 2.3542e+01, 1.6000e-02
1, 1, 7.5000e+01, 2.0225e+01, 2.7000e-02
1, 1, 7.5000e+01, 1.7422e+01, 4.5000e-02
1, 1, 7.5000e+01, 1.4936e+01, 7.7000e-02
1, 1, 7.5000e+01, 1.2706e+01, 1.3000e-01
1, 1, 7.5000e+01, 1.0785e+01, 2.1000e-01
1, 1, 7.5000e+01, 9.0156e+00, 3.5000e-01
1, 1, 7.5000e+01, 7.4311e+00, 6.0000e-01
1, 1, 7.5000e+01, 6.2576e+00, 9.5000e-01
1, 1, 7.5000e+01, 5.0483e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.0800e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.2414e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.5790e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.1484e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.6880e+00, 1.9000e+01
1, 1, 7.5000e+01, 1.3730e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.2909e+00, 4.0000e+01
1, 1, 7.5000e+01, 1.2324e+00, 5.0000e+01
1, 1, 7.5000e+01, 1.2169e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.2112e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.2096e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.2108e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.2136e+00, 9.9990e+01
1, 1, 7.5000e+01, 2.6890e+01, 1.0000e-02
1, 1, 7.5000e+01, 2.3542e+01, 1.6000e-02
1, 1, 7.5000e+01, 2.0225e+01, 2.7000e-02
1, 1, 7.5000e+01, 1.7422e+01, 4.5000e-02
1, 1, 7.5000e+01, 1.4936e+01, 7.7000e-02
1, 1, 7.5000e+01, 1.2706e+01, 1.3000e-01
1, 1, 7.5000e+01, 1.0785e+01, 2.1000e-01
1, 1, 7.5000e+01, 9.0156e+00, 3.5000e-01
1, 1, 7.5000e+01, 7.4311e+00, 6.0000e-01
1, 1, 7.5000e+01, 6.2576e+00, 9.5000e-01
1, 1, 7.5000e+01, 5.0483e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.0800e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.2414e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.5790e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.1484e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.6880e+00, 1.9000e+01
1, 1, 7.5000e+01, 1.3730e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.2909e+00, 4.0000e+01
1, 1, 7.5000e+01, 1.2324e+00, 5.0000e+01
1, 1, 7.5000e+01, 1.2169e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.2112e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.2096e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.2108e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.2136e+00, 9.9990e+01
1, 1, 7.5000e+01, 2.6890e+01, 1.0000e-02
1, 1, 7.5000e+01, 2.3542e+01, 1.6000e-02
1, 1, 7.5000e+01, 2.0225e+01, 2.7000e-02
1, 1, 7.5000e+01, 1.7422e+01, 4.5000e-02
1, 1, 7.5000e+01, 1.4936e+01, 7.7000e-02
1, 1, 7.5000e+01, 1.2706e+01, 1.3000e-01
1, 1, 7.5000e+01, 1.0785e+01, 2.1000e-01
1, 1, 7.5000e+01, 9.0156e+00, 3.5000e-01
1, 1, 7.5000e+01, 7.4311e+00, 6.0000e-01
1, 1, 7.5000e+01, 6.2576e+00, 9.5000e-01
1, 1, 7.5000e+01, 5.0483e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.0800e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.2414e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.5790e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.1484e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.6880e+00, 1.9000e+01
1, 1, 7.5000e+01, 1.3730e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.2909e+00, 4.0000e+01
1, 1, 7.5000e+01, 1.2324e+00, 5.0000e+01
1, 1, 7.5000e+01, 1.2169e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.2112e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.2096e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.2108e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.2136e+00, 9.9990e+01
1, 1, 7.5000e+01, 2.6890e+01, 1.0000e-02
1, 1, 7.5000e+01, 2.3542e+01, 1.6000e-02
1, 1, 7.5000e+01, 2.0225e+01, 2.7000e-02
1, 1, 7.5000e+01, 1.7422e+01, 4.5000e-02
1, 1, 7.5000e+01, 1.4936e+01, 7.7000e-02
1, 1, 7.5000e+01, 1.2706e+01, 1.3000e-01
1, 1, 7.5000e+01, 1.0785e+01, 2.1000e-01
1, 1, 7.5000e+01, 9.0156e+00, 3.5000e-01
1, 1, 7.5000e+01, 7.4311e+00, 6.0000e-01
1, 1, 7.5000e+01, 6.2576e+00, 9.5000e-01
1, 1, 7.5000e+01, 5.0483e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.0800e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.2414e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.5790e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.1484e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.6880e+00, 1.9000e+01
1, 1, 7.5000e+01, 1.3730e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.2909e+00, 4.0000e+01
1, 1, 7.5000e+01, 1.2324e+00, 5.0000e+01
1, 1, 7.5000e+01, 1.2169e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.2112e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.2096e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.2108e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.2136e+00, 9.9990e+01
1, 1, 7.5000e+01, 2.6890e+01, 1.0000e-02
1, 1, 7.5000e+01, 2.3542e+01, 1.6000e-02
1, 1, 7.5000e+01, 2.0225e+01, 2.7000e-02
1, 1, 7.5000e+01, 1.7422e+01, 4.5000e-02
1, 1, 7.5000e+01, 1.4936e+01, 7.7000e-02
1, 1, 7.5000e+01, 1.2706e+01, 1.3000e-01
1, 1, 7.5000e+01, 1.0785e+01, 2.1000e-01
1, 1, 7.5000e+01, 9.0156e+00, 3.5000e-01
1, 1, 7.5000e+01, 7.4311e+00, 6.0000e-01
1, 1, 7.5000e+01, 6.2576e+00, 9.5000e-01
1, 1, 7.5000e+01, 5.0483e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.0800e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.2414e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.5790e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.1484e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.6880e+00, 1.9000e+01
1, 1, 7.5000e+01, 1.3730e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.2909e+00, 4.0000e+01
1, 1, 7.5000e+01, 1.2324e+00, 5.0000e+01
1, 1, 7.5000e+01, 1.2169e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.2112e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.2096e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.2108e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.2136e+00, 9.9990e+01
1, 1, 7.5000e+01, 2.6890e+01, 1.0000e-02
1, 1, 7.5000e+01, 2.3542e+01, 1.6000e-02
1, 1, 7.5000e+01, 2.0225e+01, 2.7000e-02
1, 1, 7.5000e+01, 1.7422e+01, 4.5000e-02
1, 1, 7.5000e+01, 1.4936e+01, 7.7000e-02
1, 1, 7.5000e+01, 1.2706e+01, 1.3000e-01
1, 1, 7.5000e+01, 1.0785e+01, 2.1000e-01
1, 1, 7.5000e+01, 9.0156e+00, 3.5000e-01
1, 1, 7.5000e+01, 7.4311e+00, 6.0000e-01
1, 1, 7.5000e+01, 6.2576e+00, 9.5000e-01
1, 1, 7.5000e+01, 5.0483e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.0800e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.2414e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.5790e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.1484e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.6880e+00, 1.9000e+01
1, 1, 7.5000e+01, 1.3730e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.2909e+00, 4.0000e+01
1, 1, 7.5000e+01, 1.2324e+00, 5.0000e+01
1, 1, 7.5000e+01, 1.2169e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.2112e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.2096e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.2108e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.2136e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
1, 2, 7.5000e+01, 5.9382e+00, 9.5000e-01
1, 2, 7.5000e+01, 4.7868e+00, 1.7000e+00
1, 2, 7.5000e+01, 3.8662e+00, 3.0000e+00
1, 2, 7.5000e+01, 3.0701e+00, 5.1000e+00
1, 2, 7.5000e+01, 2.4420e+00, 8.3000e+00
1, 2, 7.5000e+01, 2.0338e+00, 1.2000e+01
1, 2, 7.5000e+01, 1.5977e+00, 1.9000e+01
1, 2, 7.5000e+01, 1.2993e+00, 3.0000e+01
1, 2, 7.5000e+01, 1.2215e+00, 4.0000e+01
1, 2, 7.5000e+01, 1.1661e+00, 5.0000e+01
1, 2, 7.5000e+01, 1.1514e+00, 6.0000e+01
1, 2, 7.5000e+01, 1.1458e+00, 7.0000e+01
1, 2, 7.5000e+01, 1.1442e+00, 8.0000e+01
1, 2, 7.5000e+01, 1.1451e+00, 9.0000e+01
1, 2, 7.5000e+01, 1.1477e+00, 9.9990e+01
1, 2, 7.5000e+01, 2.5788e+01, 1.0000e-02
1, 2, 7.5000e+01, 2.2551e+01, 1.6000e-02
1, 2, 7.5000e+01, 1.9346e+01, 2.7000e-02
1, 2, 7.5000e+01, 1.6641e+01, 4.5000e-02
1, 2, 7.5000e+01, 1.4246e+01, 7.7000e-02
1, 2, 7.5000e+01, 1.2103e+01, 1.3000e-01
1, 2, 7.5000e+01, 1.0263e+01, 2.1000e-01
1, 2, 7.5000e+01, 8.5700e+00, 3.5000e-01
1, 2, 7.5000e+01, 7.0570e+00, 6.0000e-01
