# This file is generated on 25-Nov-2021 at 17:01:14 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 3.7500e+01, 6.3056e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.4610e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.3974e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.3891e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.6606e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.3113e+00, 4.0000e+01
1, 1, 3.7500e+01, 1.0877e+00, 5.0000e+01
1, 1, 3.7500e+01, 9.3133e-01, 6.0000e+01
1, 1, 3.7500e+01, 8.1541e-01, 7.0000e+01
1, 1, 3.7500e+01, 7.2581e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5434e-01, 9.0000e+01
1, 1, 3.7500e+01, 5.9598e-01, 9.9990e+01
1, 1, 3.7500e+01, 1.3278e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.1539e+02, 1.6000e-02
1, 1, 3.7500e+01, 9.7026e+01, 2.7000e-02
1, 1, 3.7500e+01, 8.0503e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.4937e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.1706e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.1308e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.1983e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.3965e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.8456e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.2996e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.0311e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.3056e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.4610e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.3974e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.3891e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.6606e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.3113e+00, 4.0000e+01
1, 1, 3.7500e+01, 1.0877e+00, 5.0000e+01
1, 1, 3.7500e+01, 9.3133e-01, 6.0000e+01
1, 1, 3.7500e+01, 8.1541e-01, 7.0000e+01
1, 1, 3.7500e+01, 7.2581e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5434e-01, 9.0000e+01
1, 1, 3.7500e+01, 5.9598e-01, 9.9990e+01
1, 1, 3.7500e+01, 1.3278e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.1539e+02, 1.6000e-02
1, 1, 3.7500e+01, 9.7026e+01, 2.7000e-02
1, 1, 3.7500e+01, 8.0503e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.4937e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.1706e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.1308e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.1983e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.3965e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.8456e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.2996e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.0311e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.3056e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.4610e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.3974e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.3891e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.6606e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.3113e+00, 4.0000e+01
1, 1, 3.7500e+01, 1.0877e+00, 5.0000e+01
1, 1, 3.7500e+01, 9.3133e-01, 6.0000e+01
1, 1, 3.7500e+01, 8.1541e-01, 7.0000e+01
1, 1, 3.7500e+01, 7.2581e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5434e-01, 9.0000e+01
1, 1, 3.7500e+01, 5.9598e-01, 9.9990e+01
1, 1, 3.7500e+01, 1.3278e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.1539e+02, 1.6000e-02
1, 1, 3.7500e+01, 9.7026e+01, 2.7000e-02
1, 1, 3.7500e+01, 8.0503e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.4937e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.1706e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.1308e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.1983e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.3965e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.8456e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.2996e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.0311e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.3056e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.4610e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.3974e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.3891e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.6606e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.3113e+00, 4.0000e+01
1, 1, 3.7500e+01, 1.0877e+00, 5.0000e+01
1, 1, 3.7500e+01, 9.3133e-01, 6.0000e+01
1, 1, 3.7500e+01, 8.1541e-01, 7.0000e+01
1, 1, 3.7500e+01, 7.2581e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5434e-01, 9.0000e+01
1, 1, 3.7500e+01, 5.9598e-01, 9.9990e+01
1, 1, 3.7500e+01, 1.3278e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.1539e+02, 1.6000e-02
1, 1, 3.7500e+01, 9.7026e+01, 2.7000e-02
1, 1, 3.7500e+01, 8.0503e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.4937e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.1706e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.1308e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.1983e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.3965e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.8456e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.2996e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.0311e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.3056e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.4610e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.3974e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.3891e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.6606e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.3113e+00, 4.0000e+01
1, 1, 3.7500e+01, 1.0877e+00, 5.0000e+01
1, 1, 3.7500e+01, 9.3133e-01, 6.0000e+01
1, 1, 3.7500e+01, 8.1541e-01, 7.0000e+01
1, 1, 3.7500e+01, 7.2581e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5434e-01, 9.0000e+01
1, 1, 3.7500e+01, 5.9598e-01, 9.9990e+01
1, 1, 3.7500e+01, 1.3278e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.1539e+02, 1.6000e-02
1, 1, 3.7500e+01, 9.7026e+01, 2.7000e-02
1, 1, 3.7500e+01, 8.0503e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.4937e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.1706e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.1308e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.1983e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.3965e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.8456e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.2996e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.0311e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.3056e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.4610e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.3974e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.3891e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.6606e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.3113e+00, 4.0000e+01
1, 1, 3.7500e+01, 1.0877e+00, 5.0000e+01
1, 1, 3.7500e+01, 9.3133e-01, 6.0000e+01
1, 1, 3.7500e+01, 8.1541e-01, 7.0000e+01
1, 1, 3.7500e+01, 7.2581e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5434e-01, 9.0000e+01
1, 1, 3.7500e+01, 5.9598e-01, 9.9990e+01
1, 1, 3.7500e+01, 1.3278e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.1539e+02, 1.6000e-02
1, 1, 3.7500e+01, 9.7026e+01, 2.7000e-02
1, 1, 3.7500e+01, 8.0503e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.4937e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.1706e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.1308e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.1983e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.3965e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.8456e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.2996e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.0311e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.3056e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.4610e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.3974e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.3891e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.6606e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.3113e+00, 4.0000e+01
1, 1, 3.7500e+01, 1.0877e+00, 5.0000e+01
1, 1, 3.7500e+01, 9.3133e-01, 6.0000e+01
1, 1, 3.7500e+01, 8.1541e-01, 7.0000e+01
1, 1, 3.7500e+01, 7.2581e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5434e-01, 9.0000e+01
1, 1, 3.7500e+01, 5.9598e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
1, 2, 3.7500e+01, 1.5726e+01, 6.0000e-01
1, 2, 3.7500e+01, 1.2022e+01, 9.5000e-01
1, 2, 3.7500e+01, 8.3868e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.7755e+00, 3.0000e+00
1, 2, 3.7500e+01, 3.9984e+00, 5.1000e+00
1, 2, 3.7500e+01, 2.8068e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.1250e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4834e+00, 1.9000e+01
1, 2, 3.7500e+01, 1.0236e+00, 3.0000e+01
1, 2, 3.7500e+01, 8.0453e-01, 4.0000e+01
1, 2, 3.7500e+01, 6.6496e-01, 5.0000e+01
1, 2, 3.7500e+01, 5.6772e-01, 6.0000e+01
1, 2, 3.7500e+01, 4.9583e-01, 7.0000e+01
1, 2, 3.7500e+01, 4.4040e-01, 8.0000e+01
1, 2, 3.7500e+01, 3.9629e-01, 9.0000e+01
1, 2, 3.7500e+01, 3.6034e-01, 9.9990e+01
1, 2, 3.7500e+01, 9.3030e+01, 1.0000e-02
1, 2, 3.7500e+01, 8.0245e+01, 1.6000e-02
1, 2, 3.7500e+01, 6.6909e+01, 2.7000e-02
1, 2, 3.7500e+01, 5.5063e+01, 4.5000e-02
1, 2, 3.7500e+01, 4.4036e+01, 7.7000e-02
1, 2, 3.7500e+01, 3.4771e+01, 1.3000e-01
1, 2, 3.7500e+01, 2.7566e+01, 2.1000e-01
1, 2, 3.7500e+01, 2.1170e+01, 3.5000e-01
